Event	ID	Name			Wwise Object Path	Notes
	114680231	TapCoop			\Menu\WorldScreen\TapCoop	
	193927641	Play_world_ambience			\Menu\WorldScreen\Play_world_ambience	
	360765749	TapCow			\Menu\WorldScreen\TapCow	
	813573769	GetIngredients			\Menu\WorldScreen\GetIngredients	
	1376280205	Door_Sound			\Menu\WorldScreen\Door_Sound	
	1592727253	PlayWind			\Menu\WorldScreen\PlayWind	
	1673106388	EggBounce			\Menu\WorldScreen\EggBounce	
	1739925550	TapMill			\Menu\WorldScreen\TapMill	
	2091898047	ThereIsPost			\Menu\WorldScreen\ThereIsPost	
	2285148275	ChurnButter			\Menu\WorldScreen\ChurnButter	
	2445602557	TapChicken			\Menu\WorldScreen\TapChicken	
	2601721796	BottleMilk			\Menu\WorldScreen\BottleMilk	
	2801371035	TapBarn			\Menu\WorldScreen\TapBarn	
	3191192648	EggPickup			\Menu\WorldScreen\EggPickup	
	3328529095	Click_PostBox			\Menu\WorldScreen\Click_PostBox	
	3478354670	CoopDoorOpen			\Menu\WorldScreen\CoopDoorOpen	
	3526362039	PasturisingMachine			\Menu\WorldScreen\PasturisingMachine	
	3733319108	GoToKitchen			\Menu\WorldScreen\GoToKitchen	
	4045324537	CowMoo			\Menu\WorldScreen\CowMoo	
	4251222990	Chicken			\Menu\WorldScreen\Chicken	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2654366170	Time			\Default Work Unit\Time	
	2689923214	World_Ambience			\Default Work Unit\Menu\World_Ambience	

Effect plug-ins	ID	Name	Type				Notes
	86245554	Attack_Remover	Wwise Compressor			
	2652646462	Dialog_Leveler_Soft	Wwise Compressor			
	3796564934	Hard_Knee_Minus_3dB_RMS	Wwise Compressor			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	51024688	FX_chicken_bawk	M:\Guzzlesaurus\Guzzlesaurus_Wwise\.cache\Windows\SFX\FX_chicken_bawk_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Effects\Chicken\FX_chicken_bawk		35904
	68282906	Vox_Joe_TapTheCoop_3	M:\Guzzlesaurus\Guzzlesaurus_Wwise\.cache\Windows\SFX\Vox_Joe_TapTheCoop_3_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocals\TapCoop\Vox_Joe_TapTheCoop_3		146528
	82142443	FX_Cow_Moo_1	M:\Guzzlesaurus\Guzzlesaurus_Wwise\.cache\Windows\SFX\FX_Cow_Moo_1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Effects\CowMoo\FX_Cow_Moo_1		156484
	93576566	FX_Bird_Chirp_3	M:\Guzzlesaurus\Guzzlesaurus_Wwise\.cache\Windows\SFX\FX_Bird_Chirp_3_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\World_Screen_Ambience\Birds\Chirps\FX_Bird_Chirp_3		34116
	142265309	Vox_Joe_BottleTheMilk	M:\Guzzlesaurus\Guzzlesaurus_Wwise\.cache\Windows\SFX\Vox_Joe_BottleTheMilk_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Vocals\BottleMilk\Vox_Joe_BottleTheMilk		167232
